max_depth,complexity_index,Train RMSE,Test RMSE,Train R2,Test R2
1,1,247437.1109390907,245173.7146409444,0.3493911606752511,0.3702513878995495
2,2,215000.9804064393,214223.76683998553,0.5087855119313782,0.5192107952092633
3,3,190896.68280949356,193159.98343794548,0.6127539018930621,0.6091107528171619
5,4,158520.75838235707,162410.96714677362,0.7329684542587325,0.7236559552649868
7,5,133699.5781614927,148076.85285790826,0.8100451612081148,0.7702826720506232
10,6,98152.75116040268,141035.94847919303,0.8976246873291439,0.7916089552886995
15,7,52134.28658925825,145932.74073974884,0.9711173420569323,0.7768869964592269
20,8,22239.414000631223,153789.5562488806,0.9947442225634435,0.7522160953564394
None,9,2890.857397090019,155324.6182222444,0.9999111937309447,0.7472448609881073
