Model,Label,Precision,Recall,F1,Support
Logistic Regression,Rejected,0.9032258064516129,0.8668730650154799,0.8846761453396524,323.0
Logistic Regression,Approved,0.9209558823529411,0.943502824858757,0.932093023255814,531.0
Logistic Regression,macro avg,0.9120908444022771,0.9051879449371185,0.9083845842977332,854.0
Logistic Regression,weighted avg,0.9142500105541952,0.914519906323185,0.9141590050275702,854.0
Decision Tree,Rejected,0.9457831325301205,0.9721362229102167,0.9587786259541985,323.0
Decision Tree,Approved,0.9827586206896551,0.9661016949152542,0.9743589743589743,531.0
Decision Tree,macro avg,0.9642708766098878,0.9691189589127355,0.9665688001565864,854.0
Decision Tree,weighted avg,0.9687737463623369,0.968384074941452,0.9684661727960439,854.0
Decision Tree No Limit,Rejected,0.9721362229102167,0.9721362229102167,0.9721362229102167,323.0
Decision Tree No Limit,Approved,0.9830508474576272,0.9830508474576272,0.9830508474576272,531.0
Decision Tree No Limit,macro avg,0.977593535183922,0.977593535183922,0.977593535183922,854.0
Decision Tree No Limit,weighted avg,0.9789227166276346,0.9789227166276346,0.9789227166276346,854.0
Random Forest,Rejected,0.98125,0.9721362229102167,0.9766718506998445,323.0
Random Forest,Approved,0.9831460674157303,0.9887005649717514,0.9859154929577465,531.0
Random Forest,macro avg,0.9821980337078651,0.9804183939409841,0.9812936718287955,854.0
Random Forest,weighted avg,0.9824289365313263,0.9824355971896955,0.9824193612840904,854.0
